,2018-02-13Hour13,2018-02-13Hour14,2018-02-13Hour15,2018-02-13Hour16,2018-02-13Hour17,2018-02-13Hour18,2018-02-13Hour19,2018-02-13Hour20,2018-02-13Hour21,2018-02-13Hour22,2018-02-13Hour23
S77,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S109,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S117,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S55,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S64,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S90,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S61,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S114,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S11,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S50,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S101,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S107,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S118,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S120,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S33,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S71,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S43,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S66,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S112,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S07,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S40,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S108,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S113,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S44,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S119,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S121,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S35,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S29,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S94,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S78,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S106,0,,0.0,,0.0,0.0,,0,0.0,0.0,0
S81,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S111,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0
S900,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S102,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S122,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S60,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S46,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S84,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S79,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S92,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S88,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S123,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S89,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S115,0,0.0,0.0,0.0,1.6,0.2,0.0,0,0.0,0.0,0
S82,0,0.0,,0.0,,,0.0,0,0.0,0.0,0
S24,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S69,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S36,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S08,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S116,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S104,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S100,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
S91,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
